Date,Open,High,Low,Close,Adj Close,Volume
2022-11-29,158.270004,159.320007,155.199997,156.389999,156.323456,29838400
2022-11-30,156.970001,169.300003,155.970001,169.229996,169.201263,56529800
2022-12-01,169.990005,172.649994,166.350006,171.350006,171.320908,47097700
2022-12-02,166.589996,169.330002,164.449997,168.759995,168.731339,37138900
2022-12-05,166.789993,169.949997,164.720001,166.100006,166.071793,35225500
2022-12-06,165.300003,165.729996,158.190002,159.869995,159.842850,35269400
2022-12-07,157.720001,161.860001,156.669998,161.199997,161.172623,37238800
2022-12-08,162.729996,171.789993,159.589996,171.690002,171.660843,51545600
2022-12-09,171.600006,175.830002,169.750000,170.009995,169.981125,46533800
2022-12-12,170.369995,175.380005,167.970001,175.350006,175.320236,45732800
2022-12-13,185.309998,187.899994,177.110001,180.720001,180.689316,65658900
2022-12-14,179.869995,182.520004,174.199997,176.740005,176.709991,49688800
2022-12-15,171.460007,173.199997,167.000000,169.520004,169.491211,47854200
2022-12-16,168.639999,170.410004,164.100006,165.710007,165.681870,47823200
2022-12-19,165.720001,166.089996,161.449997,162.539993,162.512390,35403900
2022-12-20,160.639999,163.100006,158.520004,160.850006,160.822693,40326000
2022-12-21,161.139999,166.270004,161.020004,165.009995,164.981979,32502500
2022-12-22,160.940002,161.380005,148.820007,153.389999,153.363953,56504500
2022-12-23,151.960007,153.389999,148.830002,152.059998,152.034180,34932600
2022-12-27,150.740005,151.000000,140.559998,141.210007,141.186020,46490200
2022-12-28,139.270004,142.619995,138.839996,140.360001,140.336166,35106600
2022-12-29,144.020004,146.830002,142.270004,146.029999,146.005203,35492300
2022-12-30,143.339996,146.289993,142.330002,146.139999,146.115189,31049000
2023-01-03,148.509995,149.960007,140.960007,143.149994,143.125687,40127700
2023-01-04,145.669998,148.529999,142.410004,147.490005,147.464966,43132400
2023-01-05,144.910004,145.639999,141.479996,142.649994,142.625763,38916800
2023-01-06,144.740005,150.100006,140.339996,148.589996,148.564758,40504400
2023-01-09,152.839996,160.559998,151.410004,156.279999,156.253464,50423100
2023-01-10,155.070007,159.619995,154.720001,159.089996,159.062988,38410100
2023-01-11,158.399994,160.279999,155.630005,160.009995,159.982819,35328500
2023-01-12,161.000000,166.369995,154.919998,165.110001,165.081970,55140900
2023-01-13,162.779999,169.220001,161.649994,168.990005,168.961304,44728700
2023-01-17,168.990005,177.279999,168.990005,177.020004,176.989944,51110200
2023-01-18,176.669998,178.729996,172.820007,173.770004,173.740494,43962400
2023-01-19,170.360001,171.970001,167.309998,167.649994,167.621521,45293200
2023-01-20,170.110001,178.559998,168.250000,178.389999,178.359711,56496700
2023-01-23,180.639999,192.449997,178.179993,191.929993,191.897400,65516300
2023-01-24,188.270004,194.949997,188.199997,192.649994,192.617279,49620400
2023-01-25,189.130005,193.699997,185.800003,193.229996,193.197189,44953700
2023-01-26,197.009995,201.660004,192.779999,198.020004,197.986374,48953500
2023-01-27,194.619995,206.279999,194.050003,203.649994,203.615417,54214200
2023-01-30,199.500000,201.399994,191.500000,191.619995,191.587448,48861100
2023-01-31,191.699997,196.869995,189.500000,195.369995,195.336823,49801700
2023-02-01,196.910004,211.919998,196.110001,209.429993,209.394424,66047700
2023-02-02,210.000000,219.490005,207.000000,217.089996,217.053131,56427600
2023-02-03,210.000000,217.449997,207.889999,211.000000,210.964172,42936600
2023-02-06,208.059998,215.699997,207.860001,210.889999,210.854187,45219700
2023-02-07,213.820007,222.589996,211.500000,221.729996,221.692337,66415000
2023-02-08,223.869995,228.779999,220.080002,222.050003,222.012299,55965100
2023-02-09,226.059998,230.199997,221.199997,223.369995,223.332062,52387600
2023-02-10,216.899994,220.779999,208.110001,212.649994,212.613876,55073700
2023-02-13,215.380005,220.479996,209.619995,217.880005,217.843002,47491900
2023-02-14,215.779999,230.490005,213.660004,229.710007,229.671005,67547400
2023-02-15,225.490005,228.550003,221.059998,227.639999,227.601349,42057500
2023-02-16,221.330002,225.500000,219.270004,220.020004,219.982635,41202600
2023-02-17,216.309998,217.399994,209.750000,213.880005,213.843689,46588800
2023-02-21,210.000000,214.940002,206.179993,206.550003,206.514923,41001500
2023-02-22,207.070007,211.039993,204.210007,207.539993,207.504745,51318400
2023-02-23,234.399994,238.880005,230.250000,236.639999,236.599808,111799500
2023-02-24,232.250000,234.740005,229.470001,232.860001,232.820465,58971600
2023-02-27,236.699997,238.800003,234.539993,235.009995,234.970093,45299400
2023-02-28,233.720001,238.250000,232.059998,232.160004,232.120575,45596300
