Date,Open,High,Low,Close,Adj Close,Volume
2022-06-06,191.389999,193.369995,185.639999,187.860001,187.684601,42240600
2022-06-07,184.720001,190.000000,181.880005,189.259995,189.083282,38891400
2022-06-08,187.990005,191.800003,185.350006,186.479996,186.345261,36325200
2022-06-09,184.809998,189.330002,180.410004,180.479996,180.349594,39557400
2022-06-10,176.000000,176.970001,168.690002,169.740005,169.617371,46524800
2022-06-13,160.000000,163.119995,156.059998,156.470001,156.356964,60415300
2022-06-14,157.309998,160.660004,154.119995,158.360001,158.245590,46968000
2022-06-15,160.949997,168.679993,159.259995,165.270004,165.150589,56393600
2022-06-16,158.600006,159.419998,154.009995,156.009995,155.897278,54574900
2022-06-17,156.479996,159.949997,153.279999,158.800003,158.685257,63033400
2022-06-21,164.750000,170.080002,164.070007,165.660004,165.540329,48308900
2022-06-22,162.259995,166.619995,161.800003,163.600006,163.481812,43713500
2022-06-23,165.190002,165.850006,158.529999,162.250000,162.132782,46368000
2022-06-24,165.000000,171.399994,163.100006,171.259995,171.136276,47215300
2022-06-27,173.119995,173.300003,166.259995,168.690002,168.568130,42796800
2022-06-28,169.000000,172.020004,159.449997,159.820007,159.704544,46114900
2022-06-29,158.139999,158.199997,151.699997,155.419998,155.307709,48235200
2022-06-30,153.610001,155.669998,148.619995,151.589996,151.480469,68607000
2022-07-01,148.990005,150.630005,143.919998,145.229996,145.125076,57761000
2022-07-05,141.750000,149.710007,140.550003,149.639999,149.531891,65139700
2022-07-06,150.100006,153.190002,147.889999,151.300003,151.190689,52906600
2022-07-07,154.559998,159.449997,153.889999,158.580002,158.465439,49290300
2022-07-08,154.300003,160.369995,153.889999,158.380005,158.265594,46797200
2022-07-11,155.259995,155.270004,150.380005,151.520004,151.410522,43732100
2022-07-12,152.679993,154.309998,148.770004,150.820007,150.711044,45848300
2022-07-13,145.899994,153.750000,144.649994,151.639999,151.530441,52191800
2022-07-14,151.080002,154.729996,147.279999,153.720001,153.608948,45623500
2022-07-15,156.589996,157.820007,154.449997,157.619995,157.506104,38593500
2022-07-18,163.020004,168.970001,160.020004,161.009995,160.893661,67051700
2022-07-19,164.860001,171.100006,161.720001,169.919998,169.797241,70236600
2022-07-20,169.470001,179.330002,168.009995,178.070007,177.941360,76053800
2022-07-21,178.850006,181.440002,175.449997,180.500000,180.369598,55704900
2022-07-22,178.929993,179.669998,171.369995,173.190002,173.064865,53667100
2022-07-25,170.190002,171.240005,166.490005,170.240005,170.117020,48074800
2022-07-26,168.889999,169.190002,164.779999,165.330002,165.210556,39786500
2022-07-27,170.320007,179.360001,169.130005,177.899994,177.771469,56977600
2022-07-28,179.750000,181.399994,174.399994,179.839996,179.710068,47464600
2022-07-29,178.130005,182.440002,176.919998,181.630005,181.498779,43546000
2022-08-01,181.820007,188.460007,179.899994,184.410004,184.276764,47646900
2022-08-02,181.220001,189.380005,180.919998,185.259995,185.126144,48952700
2022-08-03,181.839996,189.679993,181.369995,188.929993,188.793503,41814600
2022-08-04,188.490005,192.740005,187.600006,192.149994,192.011169,40965200
2022-08-05,188.100006,192.289993,186.660004,189.889999,189.752808,38606800
2022-08-08,175.020004,182.389999,172.419998,177.929993,177.801437,98185900
2022-08-09,172.520004,174.470001,167.240005,170.860001,170.736557,66826300
2022-08-10,176.979996,181.179993,173.169998,180.970001,180.839264,59742200
2022-08-11,181.309998,187.070007,178.759995,179.419998,179.290375,50932700
2022-08-12,181.600006,187.179993,179.529999,187.089996,186.954849,47809400
2022-08-15,187.009995,191.639999,186.130005,190.320007,190.182510,45766600
2022-08-16,189.199997,191.419998,185.009995,188.789993,188.653595,45124000
2022-08-17,185.229996,186.880005,181.449997,183.350006,183.217529,44679900
2022-08-18,183.009995,188.649994,181.830002,187.729996,187.594360,41544700
2022-08-19,184.059998,185.199997,177.699997,178.490005,178.361053,44158800
2022-08-22,174.899994,175.580002,169.660004,170.339996,170.216934,40959300
2022-08-23,169.889999,174.649994,169.699997,171.809998,171.685883,36998600
2022-08-24,170.119995,174.059998,168.949997,172.220001,172.095581,52266100
2022-08-25,168.440002,179.470001,168.330002,179.130005,179.000595,77069100
2022-08-26,178.570007,179.240005,162.369995,162.600006,162.482529,76912700
2022-08-29,160.199997,163.380005,157.669998,158.009995,157.895844,49613200
2022-08-30,159.600006,160.389999,151.820007,154.679993,154.568253,53018100
2022-08-31,153.839996,155.399994,149.589996,150.940002,150.830948,57371000
2022-09-01,142.089996,143.800003,132.699997,139.369995,139.269302,117886500
2022-09-02,141.000000,141.710007,135.910004,136.470001,136.371414,74315700
2022-09-06,137.309998,137.789993,133.509995,134.649994,134.552719,53575100
2022-09-07,135.630005,138.380005,133.460007,137.139999,137.081650,51265700
2022-09-08,134.589996,140.080002,133.690002,139.899994,139.840454,62487300
2022-09-09,141.570007,144.740005,141.259995,143.869995,143.808777,48661200
2022-09-12,143.690002,145.470001,141.979996,145.050003,144.988281,48415900
2022-09-13,138.020004,139.220001,130.990005,131.309998,131.254120,71495600
2022-09-14,132.539993,132.899994,129.130005,131.279999,131.224136,58850700
2022-09-15,130.149994,132.330002,127.900002,129.289993,129.234970,52362500
2022-09-16,127.419998,132.119995,126.169998,131.979996,131.923828,67075100
2022-09-19,130.119995,134.630005,130.100006,133.820007,133.763062,56968500
2022-09-20,132.149994,134.830002,130.570007,131.759995,131.703934,52481800
2022-09-21,132.130005,140.309998,131.100006,132.610001,132.553574,80767900
2022-09-22,130.699997,131.490005,124.279999,125.610001,125.556549,75916200
2022-09-23,124.199997,126.110001,122.570000,125.160004,125.106743,66330900
2022-09-26,124.910004,126.589996,122.139999,122.279999,122.227959,54734300
2022-09-27,125.070000,127.360001,122.580002,124.129997,124.077171,55385400
2022-09-28,124.099998,128.229996,123.540001,127.360001,127.305801,54241400
2022-09-29,124.480003,125.000000,119.459999,122.199997,122.147995,53276300
2022-09-30,120.870003,126.330002,120.750000,121.389999,121.338341,56563800
2022-10-03,123.470001,126.779999,121.050003,125.120003,125.066757,54747800
2022-10-04,128.789993,132.199997,128.789993,131.669998,131.613968,58418200
2022-10-05,129.110001,133.210007,126.209999,132.089996,132.033783,50713100
2022-10-06,132.199997,136.559998,131.029999,131.300003,131.244141,64415700
2022-10-07,125.050003,126.699997,120.220001,120.760002,120.708611,67247800
2022-10-10,120.370003,121.239998,114.080002,116.699997,116.650337,69869900
2022-10-11,115.610001,118.459999,112.830002,115.860001,115.810699,66748200
2022-10-12,115.790001,117.349998,113.449997,115.000000,114.951057,49259000
2022-10-13,109.709999,120.779999,108.129997,119.599998,119.549103,85010300
2022-10-14,120.570000,121.110001,112.040001,112.269997,112.222221,71343200
2022-10-17,115.180000,119.480003,115.169998,118.879997,118.829407,58077400
